steps,time,reward,delta,converged
1,0.0,-0.13600000000000004,1.0006623265682846,False
2,0.0,-0.19999999999999998,1.000694398847328,False
3,0.0,-0.11578947368421046,1.0007393871726127,False
4,0.010000000000218279,-0.11836734693877549,1.000982021867564,False
5,0.0,-0.11084337349397574,1.000982021867564,False
6,0.0,-0.17499999999999996,1.000982021867564,False
7,0.0,-0.2285714285714286,1.000982021867564,False
8,0.0,-0.19,1.000982021867564,False
9,0.010000000000218279,-0.13913043478260873,1.0009958616552734,False
10,0.0,-0.13750000000000004,1.0009958616552734,False
11,0.0,-0.12500000000000006,1.0009958616552734,False
12,0.0,-0.12903225806451618,1.0009958616552734,False
13,0.010000000000218279,-0.10825688073394475,1.0009958616552734,False
14,0.010000000000218279,-0.10532544378698207,1.0009958616552734,False
15,0.0,-0.12195121951219516,1.0009958616552734,False
16,0.009999999999308784,-0.10891089108910872,1.0009958616552734,False
17,0.0,-0.13333333333333336,1.0009958616552734,False
18,0.010000000000218279,-0.11730769230769227,1.0009958616552734,False
19,0.0,-0.11874999999999998,1.0009958616552734,False
20,0.010000000000218279,-0.13750000000000004,1.0009958616552734,False
21,0.0,-0.11232876712328754,1.0009958616552734,False
22,0.0,-0.1074380165289254,1.0009958616552734,False
23,0.0,-0.11267605633802805,1.0009958616552734,False
24,0.010000000000218279,-0.11153846153846139,1.0009958616552734,False
25,0.0,-0.12195121951219516,1.0009958616552734,False
26,0.0,-0.2125,1.0009958616552734,False
27,0.010000000000218279,-0.10782608695652153,1.0009958616552734,False
28,0.009999999999308784,-0.111392405063291,1.0009958616552734,False
29,0.010000000000218279,-0.10526315789473667,1.0009958616552734,False
30,0.010000000000218279,-0.11428571428571419,1.0009958616552734,False
31,0.010000000000218279,-0.1045454545454546,1.0009958616552734,False
32,0.0,-0.11323529411764695,1.0009958616552734,False
33,0.010000000000218279,-0.11956521739130435,1.0009958616552734,False
34,0.010000000000218279,-0.10782608695652153,1.0009958616552734,False
35,0.0,-0.12142857142857147,1.0009958616552734,False
36,0.010000000000218279,-0.12571428571428578,1.0009958616552734,False
37,0.0,-0.12307692307692314,1.0009958616552734,False
38,0.009999999999308784,-0.10918367346938757,1.0009958616552734,False
39,0.0,-0.16000000000000003,1.0009958616552734,False
40,0.010000000000218279,-0.11764705882352938,1.0009958616552734,False
41,0.010000000000218279,-0.10803571428571408,1.0009958616552734,False
42,0.0,-0.12727272727272732,1.0009958616552734,False
43,0.0,-0.10756302521008382,1.0009958616552734,False
44,0.009999999999308784,-0.10387931034482784,1.0009958616552734,False
45,0.0,-0.11636363636363631,1.0009958616552734,False
46,0.020000000000436557,-0.10391304347826111,1.0009958616552734,False
47,0.009999999999308784,-0.11285714285714274,1.0009958616552734,False
48,0.010000000000218279,-0.1081081081081079,1.0009958616552734,False
49,0.010000000000218279,-0.10714285714285691,1.0009958616552734,False
50,0.010000000000218279,-0.1089999999999998,1.0009958616552734,False
51,0.0,-0.12250000000000005,1.0009958616552734,False
52,0.009999999999308784,-0.13214285714285717,1.0009958616552734,False
53,0.0,-0.11304347826086944,1.0009958616552734,False
54,0.020000000000436557,-0.10576923076923052,1.0009958616552734,False
55,0.0,-0.11184210526315776,1.0009958616552734,False
56,0.0,-0.11698113207547164,1.0009958616552734,False
57,0.009999999999308784,-0.10489130434782604,1.0009958616552734,False
58,0.0,-0.13750000000000004,1.0009958616552734,False
59,0.0,-0.12571428571428578,1.0009958616552734,False
60,0.010000000000218279,-0.11267605633802805,1.0009958616552734,False
61,0.019999999999527063,-0.1035019455252922,1.0009958616552734,False
62,0.010000000000218279,-0.11285714285714274,1.0009958616552734,False
63,0.0,-0.13333333333333336,1.0009958616552734,False
64,0.010000000000218279,-0.10608108108108083,1.0009958616552734,False
65,0.009999999999308784,-0.10681818181818159,1.0009958616552734,False
66,0.010000000000218279,-0.10436893203883506,1.0009958616552734,False
67,0.010000000000218279,-0.11022727272727256,1.0009958616552734,False
68,0.010000000000218279,-0.11323529411764695,1.0009958616552734,False
69,0.010000000000218279,-0.10671641791044753,1.0009958616552734,False
70,0.009999999999308784,-0.10818181818181798,1.0009958616552734,False
71,0.010000000000218279,-0.10552147239263779,1.0009958616552734,False
72,0.0,-0.11097560975609741,1.0009958616552734,False
73,0.010000000000218279,-0.10857142857142837,1.0009958616552734,False
74,0.009999999999308784,-0.10624999999999976,1.0009958616552734,False
75,0.0,-0.1090909090909089,1.0009958616552734,False
76,0.010000000000218279,-0.1061224489795916,1.0009958616552734,False
77,0.019999999999527063,-0.10368852459016424,1.0009958616552734,False
78,0.0,-0.11636363636363631,1.0009958616552734,False
79,0.020000000000436557,-0.10389610389610414,1.0009958616552734,False
80,0.019999999999527063,-0.10416666666666684,1.0009958616552734,False
81,0.010000000000218279,-0.10849056603773564,1.0009958616552734,False
