episode,length,time,reward,delta
0,500.0,0.040000000000873115,-1986.0,-0.390336363918954
1,261.0,0.020000000000436557,-656.0,99.99983747433114
2,500.0,0.039999999999054126,-2085.0,-0.403670527414397
3,368.0,0.020000000000436557,-1159.0,89.99985372689802
4,326.0,0.030000000000654836,-820.0,80.99986835420822
5,168.0,0.00999999999839929,-662.0,72.8998815187874
6,286.0,0.020000000000436557,-483.0,65.60989336690866
7,192.0,0.020000000000436557,-290.0,59.0489040302178
8,88.0,0.0,-87.0,53.14401362719602
9,61.0,0.0,39.0,47.82961226447642
10,231.0,0.020000000000436557,-527.0,43.04665103802878
11,205.0,0.019999999998617568,-699.0,38.7419859342259
12,50.0,0.0,50.0,34.86778734080332
13,188.0,0.020000000000436557,-385.0,31.381008606722986
14,117.0,0.010000000000218279,-215.0,28.24290774605069
15,35.0,0.0,65.0,25.418616971445616
16,76.0,0.0,24.0,22.87675527430106
17,52.0,0.0,48.0,20.58907974687095
18,149.0,0.010000000000218279,-346.0,18.530171772183863
19,193.0,0.010000000000218279,-687.0,16.677154594965472
20,69.0,0.010000000000218279,31.0,15.009439135468924
21,51.0,0.0,49.0,13.508495221922033
22,63.0,0.00999999999839929,-62.0,12.157645699729827
23,195.0,0.010000000000218279,-590.0,10.941881129756851
24,86.0,0.010000000000218279,-184.0,9.847693016781164
25,65.0,0.0,-163.0,8.86292371510305
26,60.0,0.010000000000218279,-59.0,7.976631343592743
27,122.0,0.010000000000218279,-319.0,7.178968209233474
28,114.0,0.010000000000218279,-311.0,6.461071388310131
29,51.0,0.0,-248.0,5.814964249479118
30,24.0,0.0,76.0,5.233467824531203
31,58.0,0.010000000000218279,-57.0,4.710121042078086
32,86.0,0.0,14.0,4.239108937870284
33,75.0,0.010000000000218279,-272.0,3.8151980440832602
34,34.0,0.0,66.0,3.433678239674933
35,27.0,0.0,-26.0,3.0903104157074353
36,84.0,0.010000000000218279,-83.0,2.7812793741366875
37,52.0,0.0,-51.0,2.503151436723016
38,33.0,0.00999999999839929,67.0,2.25283629305072
39,61.0,0.0,39.0,2.0275526637456522
40,37.0,0.010000000000218279,63.0,1.8247973973710856
41,38.0,0.0,62.0,1.6423176576339813
42,45.0,0.0,55.0,1.4780858918705775
43,66.0,0.010000000000218279,-164.0,1.3302773026835126
44,94.0,0.0,-93.0,1.19724957241516
45,35.0,0.0,-34.0,1.077524615173644
46,40.0,0.0,60.0,0.9697721536562796
47,53.0,0.010000000000218279,47.0,0.872794938290653
48,37.0,0.0,-36.0,0.7855154444615806
49,20.0,0.0,80.0,0.706963900015424
50,56.0,0.0,44.0,0.6362675100138802
51,23.0,0.0,77.0,0.5726407590124865
52,61.0,0.0,-159.0,0.5153766831112421
53,95.0,0.020000000000436557,-193.0,0.463839014800115
54,15.0,0.0,85.0,0.4174551133201021
55,31.0,0.0,69.0,0.3757096019880919
56,35.0,0.0,65.0,0.33813864178928554
57,16.0,0.0,84.0,0.30432477761036125
58,28.0,0.00999999999839929,-27.0,0.2738922998493223
59,34.0,0.0,66.0,0.24650306986438864
60,24.0,0.0,76.0,0.2218527628779441
61,26.0,0.0,74.0,0.199667486590144
62,17.0,0.0,-16.0,0.17970073793112817
63,33.0,0.0,-32.0,0.16173066413801962
64,51.0,0.0,-149.0,0.1455575977242205
65,38.0,0.0,62.0,0.13100183795179987
66,50.0,0.0,-148.0,0.11790165415662557
67,25.0,0.0,75.0,0.10611148874096443
68,16.0,0.0,84.0,0.09550033986687367
69,30.0,0.010000000000218279,70.0,0.08595030588018915
70,21.0,0.0,79.0,0.07735527529216313
71,25.0,0.0,75.0,0.06961974776294255
72,19.0,0.0,81.0,0.06265777298665398
73,81.0,0.010000000000218279,-179.0,0.05639199568798858
74,20.0,0.0,80.0,0.05075279611918404
75,28.0,0.0,-27.0,0.04567751650726848
76,15.0,0.0,-14.0,0.04110976485654305
77,43.0,0.010000000000218279,-141.0,0.03699878837089443
78,65.0,0.0,-262.0,0.03329890953379788
79,35.0,0.0,-34.0,0.029969018580416673
80,24.0,0.010000000000218279,76.0,0.026972116722376427
81,27.0,0.0,73.0,0.02427490505013452
82,39.0,0.0,-137.0,0.02184741454512107
83,19.0,0.0,81.0,0.01966267309060754
84,17.0,0.010000000000218279,83.0,0.01769640578154963
85,59.0,0.0,-157.0,0.01592676520338898
86,23.0,0.0,77.0,0.014334088683042978
87,30.0,0.0,70.0,0.012900679814734417
88,16.0,0.0,84.0,0.011610611833262396
89,16.0,0.0,84.0,0.010449550649937578
90,34.0,0.0,66.0,0.009404595584939557
91,25.0,0.0,-24.0,0.008464136026447022
92,16.0,0.0,84.0,0.00761772242380232
93,29.0,0.010000000000218279,71.0,0.006855950181417825
94,12.0,0.0,88.0,0.006170355163277463
95,13.0,0.0,87.0,0.005553319646949717
96,26.0,0.0,74.0,0.004997987682259009
97,15.0,0.0,85.0,0.004498188914027423
98,30.0,0.010000000000218279,70.0,0.004048370022630365
99,12.0,0.0,88.0,0.0036435330203659078
100,17.0,0.0,83.0,0.0032791797183335802
101,28.0,0.0,-27.0,0.0029512617465030644
102,26.0,0.0,74.0,0.002656135571854179
103,27.0,0.010000000000218279,-26.0,0.002390522014664498
104,22.0,0.0,78.0,0.002151469813199469
105,12.0,0.0,88.0,0.0019363228318809433
106,20.0,0.0,80.0,0.0017426905486956912
107,60.0,0.010000000000218279,-257.0,0.0015684214938289642
108,23.0,0.0,77.0,0.00141157934444891
109,15.0,0.0,85.0,0.0012704214099983346
110,17.0,0.0,83.0,0.001143379268995659
111,14.0,0.0,86.0,0.001029041342093251
112,12.0,0.0,88.0,0.0009261372078839258
113,17.0,0.010000000000218279,83.0,0.0008335234870884278
114,14.0,0.0,86.0,0.000750171138378164
115,12.0,0.0,88.0,0.0006751540245346632
116,15.0,0.0,-14.0,0.0006076386220854602
117,16.0,0.0,84.0,0.0005468747598769141
118,14.0,0.0,86.0,0.0004921872838821173
119,19.0,0.0,-18.0,0.0004429685554896423
120,27.0,0.010000000000218279,-125.0,0.0003986716999406781
121,12.0,0.0,88.0,0.0003588045299522946
122,31.0,0.0,69.0,0.000322924076954223
123,24.0,0.0,-23.0,0.0002906316692588007
124,14.0,0.0,86.0,0.00026156850233860496
125,21.0,0.0,79.0,0.00023541165209906012
126,43.0,0.010000000000218279,-141.0,0.00021187048689341736
127,22.0,0.0,-21.0,0.00019068343820549671
128,16.0,0.0,84.0,0.0001716150943877892
129,13.0,0.0,-12.0,0.00015445358495469463
130,12.0,0.0,88.0,0.00013900822645496191
131,27.0,0.0,-26.0,0.00012510740380378138
132,12.0,0.0,88.0,0.0001125966634276665
133,12.0,0.010000000000218279,88.0,0.00010133699709058419
134,16.0,0.0,84.0,9.120329738721011e-05
135,14.0,0.0,86.0,8.208296765133127e-05
136,12.0,0.0,88.0,7.387467088904032e-05
137,24.0,0.0,76.0,6.648720379587303e-05
138,15.0,0.0,85.0,5.98384834091803e-05
139,14.0,0.00999999999839929,86.0,5.3854635069683354e-05
140,14.0,0.0,86.0,4.846917155987285e-05
141,17.0,0.0,-16.0,4.3622254409569905e-05
142,13.0,0.0,87.0,3.9260028970034e-05
143,16.0,0.0,84.0,3.533402606592517e-05
144,15.0,0.0,85.0,3.180062346075374e-05
145,18.0,0.0,82.0,2.862056111041511e-05
146,17.0,0.010000000000218279,83.0,2.5758505003636856e-05
147,28.0,0.0,-27.0,2.3182654501852085e-05
148,12.0,0.0,88.0,2.0864389057351218e-05
149,12.0,0.0,88.0,1.8777950145931754e-05
150,12.0,0.0,88.0,1.690015513133858e-05
151,14.0,0.0,86.0,1.5210139622467977e-05
152,16.0,0.010000000000218279,84.0,1.3689125665905522e-05
153,14.0,0.0,86.0,1.232021310215714e-05
154,22.0,0.0,78.0,1.1088191797625768e-05
155,18.0,0.0,82.0,9.979372620705362e-06
156,18.0,0.0,-17.0,8.98143535721374e-06
157,14.0,0.0,86.0,8.08329181722911e-06
158,38.0,0.010000000000218279,-235.0,7.274962641190541e-06
159,24.0,0.0,-23.0,6.547466384176914e-06
160,18.0,0.0,82.0,5.8927197414959664e-06
161,12.0,0.0,88.0,5.303447764504199e-06
162,12.0,0.0,88.0,4.7731029866326935e-06
163,14.0,0.0,86.0,4.2957926922326806e-06
164,12.0,0.010000000000218279,88.0,3.866213418746156e-06
