episode,length,time,reward,delta
0,500.0,0.040000000000873115,-2580.0,-0.9998963359095594
1,105.0,0.010000000000218279,-104.0,100.00007131249967
2,264.0,0.020000000000436557,-956.0,50.00003565624984
3,72.0,0.00999999999839929,-170.0,25.000017828124925
4,38.0,0.0,62.0,12.500008914062462
5,99.0,0.010000000000218279,-296.0,6.250004457031224
6,88.0,0.0,-186.0,3.125002228515612
7,32.0,0.010000000000218279,68.0,1.562501114257799
8,35.0,0.0,65.0,0.7812505571288995
9,20.0,0.0,80.0,0.3906252785644426
10,38.0,0.0,62.0,0.1953126392822213
11,41.0,0.010000000000218279,59.0,0.09765631964111776
12,42.0,0.0,-41.0,0.04882815982055888
13,14.0,0.0,86.0,0.024414079910286546
14,41.0,0.010000000000218279,-40.0,0.012207039955143273
15,174.0,0.010000000000218279,-1163.0,0.0061035199775716364
16,12.0,0.0,88.0,0.003051759988778713
17,26.0,0.0,74.0,0.0015258799943893564
18,16.0,0.0,-15.0,0.0007629399972017836
19,15.0,0.010000000000218279,-14.0,0.0003814699986008918
20,29.0,0.0,-127.0,0.00019073499930755133
21,29.0,0.0,-127.0,9.536749965377567e-05
22,20.0,0.0,80.0,4.7683749826887833e-05
23,26.0,0.0,-124.0,2.384187490633849e-05
24,21.0,0.010000000000218279,-20.0,1.1920937453169245e-05
25,25.0,0.0,-24.0,5.960468726584622e-06
26,23.0,0.0,-22.0,2.9802343703977385e-06
27,16.0,0.0,84.0,1.4901171851988693e-06
28,12.0,0.0,88.0,7.45058599704862e-07
29,30.0,0.010000000000218279,-128.0,3.72529299852431e-07
30,20.0,0.0,80.0,1.8626465703164286e-07
31,12.0,0.0,88.0,9.313232851582143e-08
32,29.0,0.0,-127.0,4.6566157152483356e-08
33,12.0,0.0,88.0,2.3283078576241678e-08
34,20.0,0.0,80.0,1.1641532182693481e-08
35,16.0,0.0,84.0,5.820766091346741e-09
36,49.0,0.0,-345.0,2.9103830456733704e-09
37,18.0,0.0,82.0,1.4551915228366852e-09
38,18.0,0.0,82.0,7.275957614183426e-10
39,15.0,0.010000000000218279,85.0,3.637978807091713e-10
40,18.0,0.0,-17.0,1.8189894035458565e-10
41,18.0,0.0,82.0,9.094947017729282e-11
42,20.0,0.0,-19.0,4.547473508864641e-11
43,16.0,0.0,84.0,2.2737367544323206e-11
44,25.0,0.0,-123.0,1.1368683772161603e-11
45,24.0,0.010000000000218279,-23.0,5.6843418860808015e-12
46,12.0,0.0,88.0,2.8421709430404007e-12
47,16.0,0.0,84.0,1.4210854715202004e-12
48,62.0,0.0,-556.0,7.105427357601002e-13
49,14.0,0.010000000000218279,86.0,3.552713678800501e-13
50,14.0,0.0,86.0,1.7053025658242404e-13
51,14.0,0.0,86.0,8.526512829121202e-14
52,16.0,0.0,-15.0,4.263256414560601e-14
53,13.0,0.0,87.0,2.842170943040401e-14
54,26.0,0.0,-124.0,1.4210854715202004e-14
55,12.0,0.0,88.0,0.0
56,18.0,0.010000000000218279,-17.0,0.0
57,20.0,0.0,80.0,0.0
58,36.0,0.0,-134.0,0.0
59,26.0,0.0,-25.0,0.0
60,37.0,0.010000000000218279,-234.0,0.0
61,22.0,0.0,78.0,0.0
62,14.0,0.0,86.0,0.0
63,20.0,0.0,-19.0,0.0
64,14.0,0.0,86.0,0.0
65,28.0,0.010000000000218279,-27.0,0.0
66,37.0,0.0,-135.0,0.0
67,14.0,0.0,86.0,0.0
68,12.0,0.0,88.0,0.0
69,30.0,0.0,-29.0,0.0
70,24.0,0.010000000000218279,-23.0,0.0
71,35.0,0.0,-133.0,0.0
72,20.0,0.0,-19.0,0.0
73,62.0,0.00999999999839929,-358.0,0.0
74,14.0,0.0,86.0,0.0
75,21.0,0.0,-20.0,0.0
76,16.0,0.0,84.0,0.0
77,28.0,0.0,-27.0,0.0
78,22.0,0.0,-21.0,0.0
79,14.0,0.0,86.0,0.0
80,12.0,0.0,88.0,0.0
81,20.0,0.0,80.0,0.0
82,20.0,0.0,-19.0,0.0
83,70.0,0.0,-366.0,0.0
84,17.0,0.0,83.0,0.0
85,16.0,0.010000000000218279,84.0,0.0
86,23.0,0.0,-121.0,0.0
87,28.0,0.0,-27.0,0.0
88,21.0,0.0,79.0,0.0
89,40.0,0.0,-138.0,0.0
90,38.0,0.0,-136.0,0.0
91,26.0,0.010000000000218279,-25.0,0.0
92,22.0,0.0,-120.0,0.0
93,26.0,0.0,-25.0,0.0
94,25.0,0.0,-24.0,0.0
95,15.0,0.0,85.0,0.0
96,29.0,0.0,-28.0,0.0
97,24.0,0.0,76.0,0.0
98,16.0,0.0,84.0,0.0
99,42.0,0.0,-140.0,0.0
100,25.0,0.010000000000218279,-123.0,0.0
101,19.0,0.0,81.0,0.0
102,33.0,0.0,-32.0,0.0
103,56.0,0.010000000000218279,-550.0,0.0
104,22.0,0.0,78.0,0.0
105,14.0,0.0,86.0,0.0
106,29.0,0.0,-28.0,0.0
107,12.0,0.0,88.0,0.0
108,14.0,0.0,86.0,0.0
109,12.0,0.010000000000218279,88.0,0.0
110,27.0,0.0,-125.0,0.0
111,16.0,0.0,84.0,0.0
112,20.0,0.0,80.0,0.0
113,28.0,0.0,-126.0,0.0
114,12.0,0.0,88.0,0.0
115,12.0,0.0,88.0,0.0
116,20.0,0.0,80.0,0.0
117,29.0,0.0,-226.0,0.0
118,22.0,0.0,78.0,0.0
119,18.0,0.0,82.0,0.0
120,16.0,0.010000000000218279,84.0,0.0
121,12.0,0.0,88.0,0.0
122,18.0,0.0,82.0,0.0
123,13.0,0.0,87.0,0.0
124,32.0,0.0,-229.0,0.0
125,16.0,0.0,84.0,0.0
126,19.0,0.010000000000218279,81.0,0.0
127,12.0,0.0,88.0,0.0
128,13.0,0.0,87.0,0.0
129,26.0,0.0,-25.0,0.0
130,18.0,0.0,-17.0,0.0
131,25.0,0.0,-24.0,0.0
132,25.0,0.010000000000218279,-24.0,0.0
133,12.0,0.0,88.0,0.0
134,18.0,0.0,82.0,0.0
135,16.0,0.0,84.0,0.0
136,34.0,0.0,-132.0,0.0
137,14.0,0.010000000000218279,86.0,0.0
138,16.0,0.0,84.0,0.0
139,18.0,0.0,82.0,0.0
140,12.0,0.0,88.0,0.0
141,12.0,0.0,88.0,0.0
142,14.0,0.0,86.0,0.0
