params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",9.129999999999995,100,-0.0908297221389343,-0.08797778308647872,-0.13214285714285717,-0.06944444444444446,0.012916636203221104
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.110000000000014,100,-0.09276803010211249,-0.08877551020408163,-0.12647058823529414,-0.056000000000000015,0.016494701893450658
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.110000000000014,100,-0.09151977379033849,-0.08990825688073394,-0.12647058823529414,-0.060714285714285735,0.012765402048541001
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.159999999999968,100,-0.09151435327903426,-0.08899889988998899,-0.12571428571428572,-0.052173913043478286,0.016071896506316855
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.639999999999986,100,-0.08529183838496789,-0.08513242009132418,-0.136,-0.052173913043478286,0.012647647119362209
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",5.040000000000077,100,-0.12822067365357656,-0.12168989547038327,-0.2,-0.10555555555555554,0.022256928207779966
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",26.36999999999989,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",32.280000000000086,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",12.089999999999918,100,-0.09579993570285891,-0.09438643997188012,-0.13214285714285717,-0.07027027027027029,0.012334862386599536
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",9.790000000000077,100,-0.09502008387854227,-0.091570757486788,-0.1375,-0.056000000000000015,0.018024147801028654
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",11.379999999999995,100,-0.09551985930452486,-0.089999173485412,-0.12432432432432435,-0.052173913043478286,0.016488269588242364
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.209999999999923,100,-0.0877909346775179,-0.08641768292682925,-0.13214285714285717,-0.062068965517241406,0.013332813881996284
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.720000000000027,100,-0.09512975215597433,-0.09191132738577992,-0.13000000000000003,-0.05925925925925928,0.014353147082177409
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.590000000000032,100,-0.09257776857475365,-0.09047458389563653,-0.136,-0.04761904761904764,0.014532529096028786
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",8.07000000000005,100,-0.08712621755001076,-0.08607371794871793,-0.13461538461538464,-0.056000000000000015,0.013659437539539965
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",5.209999999999923,100,-0.13825819050848787,-0.136,-0.25,-0.0725,0.02864235828985773
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",23.870000000000005,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
