episode,length,time,reward,delta
0,13.0,0.0,-2.3,-1.0
1,23.0,0.009999999999990905,-3.3000000000000007,-1.0
2,68.0,0.009999999999990905,-7.799999999999992,-1.0
3,30.0,0.0,-4.000000000000002,-1.0
4,15.0,0.0,-2.5,-1.0
5,12.0,0.009999999999990905,-2.2,-0.99
6,53.0,0.009999999999990905,-6.299999999999997,-1.0
7,29.0,0.0,-3.9000000000000012,-0.99
8,14.0,0.0,-2.4000000000000004,-0.99
9,86.0,0.01999999999998181,-9.599999999999985,-1.0
10,22.0,0.0,-3.2000000000000006,-0.8919
11,13.0,0.0,-2.3,-0.9
12,43.0,0.0,-5.300000000000001,-1.0
13,60.0,0.010000000000218279,-6.999999999999995,-1.0
14,13.0,0.0,-2.3,-1.0
15,15.0,0.0,-2.5,-0.99
16,111.0,0.01999999999998181,-12.099999999999977,-0.9787245
17,56.0,0.009999999999990905,-6.599999999999996,-1.0
18,34.0,0.0,-4.400000000000002,-0.89898225
19,40.0,0.009999999999990905,-5.000000000000002,-0.898528875
20,25.0,0.0,-3.500000000000001,-0.99
21,42.0,0.009999999999990905,-5.200000000000001,-0.9525962406646797
22,71.0,0.009999999999990905,-8.09999999999999,-0.898230625
23,98.0,0.009999999999990905,-10.799999999999981,-0.8084075625
24,28.0,0.009999999999990905,-3.800000000000001,-0.8977866358875
25,35.0,0.0,-4.500000000000002,-0.8790797528557125
26,19.0,0.009999999999990905,-2.9000000000000004,-0.9895
27,50.0,0.0,-5.999999999999998,-0.98902375
28,50.0,0.009999999999990905,-3.9999999999999982,1.0
29,7.0,0.0,-1.7,-0.8595292673837623
30,21.0,0.0,-3.1000000000000005,-1.0
31,28.0,0.0,-3.800000000000001,-0.9699434888775
32,33.0,0.0,-4.300000000000002,-0.891
33,42.0,0.009999999999990905,-5.200000000000001,-0.8908608238125
34,21.0,0.0,-3.1000000000000005,-0.96952312875
35,56.0,0.009999999999990905,-6.599999999999996,-0.7819262567134696
