episode,length,time,reward,delta
0,23.0,0.0,-3.3000000000000007,-1.0
1,27.0,0.0,-3.700000000000001,-1.0
2,28.0,0.009999999999990905,-3.800000000000001,-1.0
3,11.0,0.0,-2.0999999999999996,-1.0
4,30.0,0.0,-4.000000000000002,-0.99
5,28.0,0.0,-3.800000000000001,-0.981
6,58.0,0.009999999999990905,-6.799999999999995,-1.0
7,39.0,0.0,-4.900000000000002,-0.99
8,23.0,0.0,-3.3000000000000007,-0.99
9,90.0,0.009999999999990905,-9.999999999999984,-0.99
10,15.0,0.0,-2.5,-0.899251
11,59.0,0.009999999999990905,-6.899999999999995,-1.0
12,50.0,0.0,-5.999999999999998,-1.0
13,77.0,0.009999999999990905,-8.699999999999989,-1.0
14,43.0,0.0,-5.300000000000001,-0.99
15,40.0,0.009999999999990905,-5.000000000000002,-0.95953458970156
16,7.0,0.0,-1.7,-1.0
17,27.0,0.0,-3.700000000000001,-1.0
18,23.0,0.0,-3.3000000000000007,-0.971703
19,52.0,0.009999999999990905,-6.1999999999999975,-0.88986069861
20,139.0,0.009999999999990905,-14.899999999999967,-0.9803
21,30.0,0.0,-4.000000000000002,-0.9226683868473953
22,9.0,0.0,-1.9,-0.99
23,36.0,0.0,-4.600000000000001,-0.8008746287490001
24,45.0,0.009999999999990905,-5.5,-0.9795701429
25,76.0,0.0,-8.599999999999989,-0.891
26,31.0,0.009999999999990905,-4.100000000000001,-0.978890617809238
27,10.0,0.0,-2.0,-0.99
28,120.0,0.009999999999990905,-12.999999999999973,-1.0
29,40.0,0.0,-5.000000000000002,-0.9722
30,9.0,0.0,-1.9,-1.0
31,37.0,0.0,-4.700000000000002,-0.8304015481626558
32,20.0,0.009999999999990905,-3.0000000000000004,-0.9893
33,18.0,0.0,-2.8000000000000007,-0.9448488318758907
34,55.0,0.0,-6.4999999999999964,-0.8872850793895376
35,9.0,0.0,-1.9,-0.891
36,37.0,0.009999999999990905,-4.700000000000002,-0.8810015560283142
37,28.0,0.0,-3.800000000000001,-0.97900647
38,102.0,0.009999999999990905,-11.19999999999998,-0.8692578125361476
39,20.0,0.0,-3.0000000000000004,-0.8708622741957169
40,14.0,0.0,-2.4000000000000004,-0.9618163674167726
41,8.0,0.0,-1.7999999999999998,-0.8169886600834206
42,13.0,0.0,-2.3,-0.9
43,21.0,0.0,-3.1000000000000005,-0.8745327
44,46.0,0.0,-5.6,-0.8649845871340455
45,86.0,0.009999999999990905,-9.599999999999985,-0.8357336186450649
46,66.0,0.0,-7.5999999999999925,-0.89037
47,17.0,0.0,-2.7,-0.8323745037721726
48,143.0,0.009999999999990905,-15.299999999999965,-0.7929014004254827
49,17.0,0.009999999999990905,-2.7,-0.7837760467761452
50,32.0,0.0,-4.200000000000001,-1.0
51,10.0,0.0,-2.0,-0.8524109829584188
52,28.0,0.0,-3.800000000000001,-0.99
53,41.0,0.009999999999990905,-5.100000000000001,-0.7833975534003816
54,7.0,0.0,-1.7,-0.8890186542865205
55,40.0,0.0,-5.000000000000002,-0.8656347306750953
56,21.0,0.0,-3.1000000000000005,-0.7053984420985306
57,85.0,0.009999999999990905,-9.499999999999986,-0.9
58,36.0,0.0,-4.600000000000001,-0.99
59,31.0,0.0,-4.100000000000001,-0.8019
60,27.0,0.009999999999990905,-3.700000000000001,-0.81
61,23.0,0.0,-3.3000000000000007,-0.8891411592713829
62,31.0,0.0,-4.100000000000001,-1.0
63,17.0,0.0,-2.7,-0.7521602567805583
64,46.0,0.009999999999990905,-5.6,-0.7491370533949553
65,21.0,0.0,-3.1000000000000005,-0.72171
66,27.0,0.0,-3.700000000000001,-0.81
67,10.0,0.0,-2.0,-0.7943491809506288
68,9.0,0.0,-1.9,-0.7149142628555659
69,8.0,0.009999999999990905,-1.7999999999999998,-0.801333
70,48.0,0.0,-5.799999999999999,-0.8849458726121865
71,23.0,0.0,-3.3000000000000007,-1.0
72,37.0,0.0,-4.700000000000002,-0.9803
73,60.0,0.010000000000218279,-6.999999999999995,-0.8866607962968336
74,45.0,0.0,-5.5,-0.7136112603829345
75,20.0,0.009999999999990905,-3.0000000000000004,-0.7823320312825329
76,23.0,0.0,-3.3000000000000007,-0.981
77,41.0,0.0,-5.100000000000001,-0.7964512853509679
78,91.0,0.009999999999990905,-10.099999999999984,-0.9803
79,10.0,0.0,-2.0,-0.784504487
80,22.0,0.0,-3.2000000000000006,-0.6878876948115435
81,20.0,0.0,-3.0000000000000004,-0.9803
82,19.0,0.009999999999990905,-2.9000000000000004,-0.8055931529141861
83,46.0,0.0,-5.6,-0.7019557417622415
84,33.0,0.0,-4.300000000000002,-1.0
85,35.0,0.009999999999990905,-4.500000000000002,-0.9755357166671503
86,14.0,0.0,-2.4000000000000004,-0.8102043390098201
87,23.0,0.0,-3.3000000000000007,-0.649539
88,62.0,0.0,-7.199999999999994,-0.87498
89,21.0,0.009999999999990905,-3.1000000000000005,-0.8024654813651438
90,60.0,0.0,-6.999999999999995,-0.99
91,22.0,0.0,-3.2000000000000006,-0.9497631563063501
92,39.0,0.009999999999990905,-4.900000000000002,-0.7073320598266045
93,20.0,0.0,-3.0000000000000004,-0.636598853843944
94,36.0,0.0,-4.600000000000001,-0.99
