episode,length,time,reward,delta
0,42.0,0.0,-5.200000000000001,-1.000271860688596
1,11.0,0.0,-2.0999999999999996,-1.000328443338047
2,22.0,0.0,-3.2000000000000006,-1.0007423212111117
3,14.0,0.0,-2.4000000000000004,-1.0002361784311171
4,50.0,0.010000000000218279,-5.999999999999998,-1.0004698670258703
5,32.0,0.0,-4.200000000000001,-0.9500969770294073
6,14.0,0.009999999999308784,-2.4000000000000004,-1.000119680524633
7,60.0,0.0,-6.999999999999995,-0.9081354377146003
8,55.0,0.010000000000218279,-6.4999999999999964,-0.9175620730122275
9,18.0,0.0,-2.8000000000000007,-0.9501424226404868
10,43.0,0.010000000000218279,-5.300000000000001,-0.8881837572805981
11,25.0,0.0,-3.500000000000001,-0.9999528867260555
12,24.0,0.0,-3.400000000000001,-0.949973894403158
13,34.0,0.0,-4.400000000000002,-0.9498807950278996
14,59.0,0.009999999999308784,-6.899999999999995,-0.692545776281537
15,43.0,0.0,-5.300000000000001,-0.4440918786402991
16,7.0,0.0,-1.7,-0.4750484885147037
17,68.0,0.0,-7.799999999999992,-1.0000570957977795
18,60.0,0.010000000000218279,-6.999999999999995,-0.9997814897758828
19,108.0,0.010000000000218279,-11.799999999999978,-1.0006109567289079
20,58.0,0.0,-6.799999999999995,-1.0006192222509167
21,16.0,0.0,-2.6000000000000005,-1.0007051831922495
22,95.0,0.010000000000218279,-10.499999999999982,-1.0002590119683725
23,13.0,0.0,-2.3,-0.887047163685809
24,21.0,0.0,-3.1000000000000005,-1.0006588956507498
25,76.0,0.010000000000218279,-8.599999999999989,-0.5000598402623166
26,23.0,0.0,-3.3000000000000007,-0.6593816113219653
27,33.0,0.0,-4.300000000000002,-0.9119214484017045
28,29.0,0.0,-3.9000000000000012,-1.0001995109739001
29,100.0,0.009999999999308784,-10.99999999999998,-1.0001110475696162
30,175.0,0.020000000000436557,-18.49999999999998,-0.9498602463035023
31,30.0,0.0,-4.000000000000002,-0.7629105082813878
32,79.0,0.010000000000218279,-8.899999999999988,-0.4749403975139498
33,38.0,0.0,-4.8000000000000025,-0.5674600453008247
34,19.0,0.0,-2.9000000000000004,-0.9427329904825777
35,65.0,0.0,-7.499999999999993,-1.000657719991376
36,56.0,0.0,-6.599999999999996,-1.0004105333552342
