step,reward,mean,median,std,max,min
0,-0.1030201342281879,-0.1030201342281879,-0.1030201342281879,0.0,-0.1030201342281879,-0.1030201342281879
1,-0.10000000000000002,-0.10151006711409397,-0.10151006711409397,0.0015100671140939395,-0.10000000000000002,-0.1030201342281879
2,-0.10841121495327102,-0.10381044972715299,-0.1030201342281879,0.003479040402990529,-0.10000000000000002,-0.10841121495327102
3,-0.10230179028132992,-0.10343328486569722,-0.1026609622547589,0.003082945278849629,-0.10000000000000002,-0.10841121495327102
4,-0.10338345864661654,-0.10342331962188109,-0.1030201342281879,0.002757542111780386,-0.10000000000000002,-0.10841121495327102
5,-0.10213270142180093,-0.10320821658853441,-0.1026609622547589,0.002562819799227002,-0.10000000000000002,-0.10841121495327102
6,-0.1038135593220339,-0.10329469412189149,-0.1030201342281879,0.0023821467874416973,-0.10000000000000002,-0.10841121495327102
7,-0.10093847758081335,-0.1030001670542567,-0.1026609622547589,0.0023606182997872984,-0.10000000000000002,-0.10841121495327102
8,-0.10000000000000002,-0.10266681515933929,-0.10230179028132992,0.0024170928598712996,-0.10000000000000002,-0.10841121495327102
9,-0.10000000000000002,-0.10240013364340536,-0.10221724585156543,0.002428615939662773,-0.10000000000000002,-0.10841121495327102
10,-0.1230769230769231,-0.10427984177372517,-0.10230179028132992,0.00637926360736508,-0.10000000000000002,-0.1230769230769231
11,-0.10000000000000002,-0.1039231882925814,-0.10221724585156543,0.006221171319478063,-0.10000000000000002,-0.1230769230769231
12,-0.10000000000000002,-0.10362140457776746,-0.10213270142180093,0.0060678416076239096,-0.10000000000000002,-0.1230769230769231
13,-0.10355731225296443,-0.10361682655456725,-0.10221724585156543,0.005847141777262409,-0.10000000000000002,-0.1230769230769231
14,-0.10604026845637582,-0.10377838934802114,-0.10230179028132992,0.005681129407055818,-0.10000000000000002,-0.1230769230769231
15,-0.10000000000000002,-0.10354224001376981,-0.10221724585156543,0.005576246676931748,-0.10000000000000002,-0.1230769230769231
16,-0.10000000000000002,-0.1033338729541363,-0.10213270142180093,0.005473582600362475,-0.10000000000000002,-0.1230769230769231
17,-0.1010158013544018,-0.1032050911985955,-0.10157425138810136,0.00534580178386251,-0.10000000000000002,-0.1230769230769231
18,-0.10000000000000002,-0.1030364021881431,-0.1010158013544018,0.005252210996838279,-0.10000000000000002,-0.1230769230769231
19,-0.1080357142857143,-0.10328636779302167,-0.10157425138810136,0.005233890293688557,-0.10000000000000002,-0.1230769230769231
20,-0.1013533834586466,-0.1031943209199562,-0.1013533834586466,0.005124314845725703,-0.10000000000000002,-0.1230769230769231
21,-0.10000000000000002,-0.10304912451450364,-0.1011845924065242,0.0050505199445423955,-0.10000000000000002,-0.1230769230769231
22,-0.10000000000000002,-0.10291655388343827,-0.1010158013544018,0.004978490576071328,-0.10000000000000002,-0.1230769230769231
23,-0.10140624999999999,-0.10285362455496165,-0.1011845924065242,0.004883003895229615,-0.10000000000000002,-0.1230769230769231
24,-0.10000000000000002,-0.10273947957276318,-0.1010158013544018,0.004816915590526847,-0.10000000000000002,-0.1230769230769231
25,-0.1024390243902439,-0.10272792360420475,-0.1011845924065242,0.004723727734381034,-0.10000000000000002,-0.1230769230769231
26,-0.10481283422459892,-0.10280514251607122,-0.1013533834586466,0.00465211841107604,-0.10000000000000002,-0.1230769230769231
27,-0.10596026490066222,-0.10291782545837803,-0.1013798167293233,0.0046056596509708855,-0.10000000000000002,-0.1230769230769231
28,-0.10000000000000002,-0.10281721078739949,-0.1013533834586466,0.004556764400822018,-0.10000000000000002,-0.1230769230769231
29,-0.10405405405405406,-0.10285843889628797,-0.1013798167293233,0.004485672528138003,-0.10000000000000002,-0.1230769230769231
30,-0.10000000000000002,-0.1027662311899561,-0.1013533834586466,0.0044415372365020234,-0.10000000000000002,-0.1230769230769231
31,-0.10416666666666667,-0.10280999479860331,-0.1013798167293233,0.004378372896745385,-0.10000000000000002,-0.1230769230769231
32,-0.10750000000000001,-0.1029521161683426,-0.10140624999999999,0.004385839382570696,-0.10000000000000002,-0.1230769230769231
33,-0.1010688836104513,-0.10289672697546344,-0.1013798167293233,0.004332560131947812,-0.10000000000000002,-0.1230769230769231
34,-0.10000000000000002,-0.10281396334759306,-0.1013533834586466,0.0042974009142836955,-0.10000000000000002,-0.1230769230769231
35,-0.10092024539877302,-0.10276136007123696,-0.10121113353454894,0.004248707200543161,-0.10000000000000002,-0.1230769230769231
36,-0.10000000000000002,-0.10268672871796028,-0.1010688836104513,0.004214753652312199,-0.10000000000000002,-0.1230769230769231
37,-0.10000000000000002,-0.10261602533064554,-0.10104234248242655,0.0041811042337769316,-0.10000000000000002,-0.1230769230769231
38,-0.10542168674698793,-0.10268796536696201,-0.1010688836104513,0.00415090949539622,-0.10000000000000002,-0.1230769230769231
39,-0.10000000000000002,-0.10262076623278796,-0.10104234248242655,0.004120122767553435,-0.10000000000000002,-0.1230769230769231
40,-0.10355731225296443,-0.10264360881864591,-0.1010688836104513,0.0040721307124293345,-0.10000000000000002,-0.1230769230769231
41,-0.10176470588235295,-0.10262268255825797,-0.10121113353454894,0.00402559155168897,-0.10000000000000002,-0.1230769230769231
42,-0.10122615803814713,-0.1025902052438368,-0.10122615803814713,0.003984070588978931,-0.10000000000000002,-0.1230769230769231
43,-0.10274390243902437,-0.10259369836190925,-0.10128977074839687,0.003938603466268031,-0.10000000000000002,-0.1230769230769231
44,-0.10661764705882353,-0.10268311944406289,-0.1013533834586466,0.003939505374779725,-0.10000000000000002,-0.1230769230769231
45,-0.10000000000000002,-0.1026247907604963,-0.10128977074839687,0.003916046264860854,-0.10000000000000002,-0.1230769230769231
46,-0.10229007633587787,-0.10261766917699379,-0.1013533834586466,0.0038744632959322547,-0.10000000000000002,-0.1230769230769231
47,-0.10282131661442005,-0.10262191183194018,-0.1013798167293233,0.0038340022125349415,-0.10000000000000002,-0.1230769230769231
48,-0.10199556541019955,-0.10260912925190464,-0.10140624999999999,0.003795711344349247,-0.10000000000000002,-0.1230769230769231
49,-0.10169811320754717,-0.1025909089310175,-0.10155218160377358,0.003759726471699429,-0.10000000000000002,-0.1230769230769231
50,-0.10000000000000002,-0.10254010679511519,-0.10140624999999999,0.0037399757325444053,-0.10000000000000002,-0.1230769230769231
51,-0.10179640718562874,-0.10252580487954813,-0.10155218160377358,0.0037052478253594336,-0.10000000000000002,-0.1230769230769231
52,-0.10000000000000002,-0.1024781481837076,-0.10140624999999999,0.0036861805001819673,-0.10000000000000002,-0.1230769230769231
53,-0.10526315789473682,-0.10252972243761554,-0.10155218160377358,0.003671140599647191,-0.10000000000000002,-0.1230769230769231
54,-0.10000000000000002,-0.10248372748420435,-0.10140624999999999,0.0036532822091277736,-0.10000000000000002,-0.1230769230769231
55,-0.10000000000000002,-0.10243937520770073,-0.1013798167293233,0.003635427472216437,-0.10000000000000002,-0.1230769230769231
56,-0.10000000000000002,-0.10239657915142528,-0.1013533834586466,0.0036176002477339136,-0.10000000000000002,-0.1230769230769231
57,-0.10782608695652174,-0.10249019135496142,-0.1013798167293233,0.003655256218442683,-0.10000000000000002,-0.1230769230769231
58,-0.10254957507082152,-0.10249119785862006,-0.10140624999999999,0.0036241551954428967,-0.10000000000000002,-0.1230769230769231
59,-0.11184210526315787,-0.10264704631536235,-0.10155218160377358,0.003787958325973662,-0.10000000000000002,-0.1230769230769231
60,-0.10000000000000002,-0.10260365211347117,-0.10140624999999999,0.003771788471052506,-0.10000000000000002,-0.1230769230769231
61,-0.10000000000000002,-0.1025616577245442,-0.1013798167293233,0.003755596576553235,-0.10000000000000002,-0.1230769230769231
62,-0.10796460176991152,-0.10264741874113732,-0.10140624999999999,0.003786374469830036,-0.10000000000000002,-0.1230769230769231
63,-0.10000000000000002,-0.10260605282330708,-0.1013798167293233,0.003770997682786099,-0.10000000000000002,-0.1230769230769231
64,-0.10153321976149914,-0.10258954769927928,-0.10140624999999999,0.003744206538198533,-0.10000000000000002,-0.1230769230769231
65,-0.10461538461538461,-0.10262024219800814,-0.10146973488074956,0.0037239645748379565,-0.10000000000000002,-0.1230769230769231
66,-0.10245231607629426,-0.10261773583798256,-0.10153321976149914,0.0036961254027189023,-0.10000000000000002,-0.1230769230769231
67,-0.10000000000000002,-0.10257923972271811,-0.10146973488074956,0.0036823540839321335,-0.10000000000000002,-0.1230769230769231
68,-0.10194384449244061,-0.10257003109619235,-0.10153321976149914,0.003656361588895939,-0.10000000000000002,-0.1230769230769231
69,-0.10150250417362269,-0.10255478071158422,-0.10151786196756091,0.003632360425552239,-0.10000000000000002,-0.1230769230769231
70,-0.10294117647058823,-0.102560222905373,-0.10153321976149914,0.0036069771143024966,-0.10000000000000002,-0.1230769230769231
71,-0.10526315789473682,-0.10259776366911416,-0.10161566648452315,0.003595781757901896,-0.10000000000000002,-0.1230769230769231
72,-0.1009375,-0.10257502033118109,-0.10153321976149914,0.0035762788879221265,-0.10000000000000002,-0.1230769230769231
73,-0.10183299389002037,-0.10256499294684107,-0.10161566648452315,0.003553065715843312,-0.10000000000000002,-0.1230769230769231
74,-0.10157618213660244,-0.10255180880270455,-0.10157618213660244,0.003531120941562672,-0.10000000000000002,-0.1230769230769231
75,-0.10714285714285714,-0.10261221733349603,-0.1016371476720748,0.0035466097955287566,-0.10000000000000002,-0.1230769230769231
76,-0.10173745173745175,-0.1026008567413396,-0.10169811320754717,0.0035248962334641924,-0.10000000000000002,-0.1230769230769231
77,-0.1012379642365887,-0.10258338376050948,-0.1016371476720748,0.0035055824680621924,-0.10000000000000002,-0.1230769230769231
78,-0.10097297297297297,-0.10256299881383181,-0.10157618213660244,0.003487974010464905,-0.10000000000000002,-0.1230769230769231
79,-0.10000000000000002,-0.10253096132865891,-0.10155470094905078,0.0034777828856899238,-0.10000000000000002,-0.1230769230769231
80,-0.10188284518828453,-0.10252295989482714,-0.10157618213660244,0.003456989292906384,-0.10000000000000002,-0.1230769230769231
81,-0.10127118644067795,-0.1025076943648985,-0.10155470094905078,0.0034385912466891686,-0.10000000000000002,-0.1230769230769231
82,-0.10000000000000002,-0.10247748117977923,-0.10153321976149914,0.0034287469453436422,-0.10000000000000002,-0.1230769230769231
83,-0.11267605633802813,-0.102598892788806,-0.10155470094905078,0.0035832714433756967,-0.10000000000000002,-0.1230769230769231
84,-0.10000000000000002,-0.10256831757952593,-0.10153321976149914,0.0035731364668912385,-0.10000000000000002,-0.1230769230769231
85,-0.10337078651685394,-0.1025776486136809,-0.10155470094905078,0.003553343211988182,-0.10000000000000002,-0.1230769230769231
86,-0.10115089514066496,-0.10256124914847381,-0.10153321976149914,0.0035361345769797416,-0.10000000000000002,-0.1230769230769231
87,-0.10000000000000002,-0.1025321440445139,-0.10151786196756091,0.003526450387822947,-0.10000000000000002,-0.1230769230769231
88,-0.10424528301886793,-0.10255139279703472,-0.10153321976149914,0.0035112289776517832,-0.10000000000000002,-0.1230769230769231
89,-0.10882352941176468,-0.10262108320386507,-0.10155470094905078,0.0035530260421272543,-0.10000000000000002,-0.1230769230769231
90,-0.10000000000000002,-0.10259228009173468,-0.10153321976149914,0.0035439997997718745,-0.10000000000000002,-0.1230769230769231
91,-0.10120160213618157,-0.10257716402700041,-0.10151786196756091,0.003527634708316426,-0.10000000000000002,-0.1230769230769231
92,-0.10274390243902437,-0.10257895691315122,-0.10153321976149914,0.0035086598139987355,-0.10000000000000002,-0.1230769230769231
93,-0.10124826629680998,-0.10256480062999865,-0.10151786196756091,0.003492615938902678,-0.10000000000000002,-0.1230769230769231
94,-0.10107655502392345,-0.1025491348867768,-0.10150250417362269,0.0034775036018720278,-0.10000000000000002,-0.1230769230769231
95,-0.10000000000000002,-0.10252258139837288,-0.10145437708681135,0.0034690121880573068,-0.10000000000000002,-0.1230769230769231
96,-0.1013452914798206,-0.10251044438890326,-0.10140624999999999,0.003453132593372462,-0.10000000000000002,-0.1230769230769231
97,-0.1020501138952164,-0.10250574713896768,-0.10145437708681135,0.0034357808703006252,-0.10000000000000002,-0.1230769230769231
98,-0.10000000000000002,-0.10248043656180639,-0.10140624999999999,0.0034275549864269754,-0.10000000000000002,-0.1230769230769231
99,-0.10157894736842103,-0.10247142166987254,-0.10145437708681135,0.0034115535189282826,-0.10000000000000002,-0.1230769230769231
