steps,time,reward,delta,converged
135,0.0,-0.12500000000000006,1.0,False
136,0.0,-0.12368421052631584,1.0,False
137,0.010000000000218279,-0.11499999999999992,1.0,False
138,0.0,-0.11836734693877549,1.0,False
139,0.009999999999308784,-0.11168831168831155,1.0,False
140,0.0,-0.14736842105263162,1.0,False
141,0.010000000000218279,-0.11384615384615374,1.0,False
142,0.0,-0.12432432432432436,1.0,False
143,0.0,-0.19,1.0,False
144,0.0,-0.12432432432432436,1.0,False
145,0.010000000000218279,-0.12000000000000001,1.0,False
146,0.0,-0.15000000000000002,1.0,False
147,0.009999999999308784,-0.11304347826086944,1.0,False
148,0.0,-0.1104651162790696,1.0,False
149,0.010000000000218279,-0.11071428571428556,1.0,False
150,0.010000000000218279,-0.11799999999999997,1.0,False
151,0.0,-0.12045454545454547,1.0,False
152,0.010000000000218279,-0.12903225806451618,1.0,False
153,0.0,-0.15294117647058827,1.0,False
154,0.009999999999308784,-0.11343283582089542,1.0,False
155,0.0,-0.2125,1.0,False
156,0.010000000000218279,-0.11168831168831155,1.0,False
157,0.0,-0.11956521739130435,1.0,False
158,0.010000000000218279,-0.13103448275862073,1.0,False
159,0.0,-0.12903225806451618,1.0,False
160,0.0,-0.13000000000000003,1.0,False
161,0.0,-0.11323529411764695,1.0,False
162,0.0,-0.16000000000000003,1.0,False
163,0.0,-0.12903225806451618,1.0,False
164,0.0,-0.14285714285714288,1.0,False
165,0.010000000000218279,-0.10857142857142837,1.0,False
166,0.010000000000218279,-0.11956521739130435,1.0,False
167,0.0,-0.11636363636363631,1.0,False
168,0.0,-0.12250000000000005,1.0,False
169,0.0,-0.13214285714285717,1.0,False
170,0.0,-0.11011235955056163,1.0,False
171,0.009999999999308784,-0.11730769230769227,1.0,False
172,0.010000000000218279,-0.10882352941176451,1.0,False
173,0.0,-0.11636363636363631,1.0,False
174,0.0,-0.13461538461538464,1.0,False
175,0.0,-0.12812500000000004,1.0,False
176,0.010000000000218279,-0.11636363636363631,1.0,False
177,0.009999999999308784,-0.1089999999999998,1.0,False
178,0.0,-0.18181818181818182,1.0,False
179,0.0,-0.12903225806451618,1.0,False
180,0.0,-0.14285714285714288,1.0,False
181,0.0,-0.11874999999999998,1.0,False
182,0.0,-0.11153846153846139,1.0,False
183,0.010000000000218279,-0.12000000000000001,1.0,False
184,0.0,-0.12307692307692314,1.0,False
185,0.0,-0.18181818181818182,1.0,False
186,0.0,-0.14736842105263162,1.0,False
187,0.010000000000218279,-0.10775862068965496,1.0,False
188,0.0,-0.12727272727272732,1.0,False
