episode,length,time,reward,delta
0,17.0,0.0,-2.7,-1.0
1,69.0,0.0,-7.8999999999999915,-1.0
2,11.0,0.0,-2.0999999999999996,-1.0
3,33.0,0.010000000000218279,-4.300000000000002,-1.0
4,12.0,0.0,-2.2,-1.0
5,13.0,0.0,-2.3,-1.0
6,10.0,0.0,-2.0,-0.9475
7,19.0,0.0,-2.9000000000000004,-1.0
8,83.0,0.009999999999990905,-9.299999999999986,-0.91
9,33.0,0.0,-4.300000000000002,-0.92375
10,25.0,0.0,-3.500000000000001,-1.0
11,4.0,0.0,-1.4,-0.9225
12,83.0,0.009999999999990905,-9.299999999999986,-1.0
13,18.0,0.0,-2.8000000000000007,-1.0
14,63.0,0.0,-7.299999999999994,-1.0
15,40.0,0.009999999999990905,-5.000000000000002,-0.8982765082127686
16,17.0,0.0,-2.7,-1.0
17,29.0,0.0,-3.9000000000000012,-0.9475
18,134.0,0.009999999999990905,-14.399999999999968,-0.925
19,80.0,0.009999999999990905,-8.999999999999988,-1.0
20,15.0,0.0,-2.5,-1.0
21,54.0,0.0,-6.399999999999997,-0.9225
22,77.0,0.009999999999990905,-8.699999999999989,-0.69603125
23,98.0,0.009999999999990905,-10.799999999999981,-0.9125
24,38.0,0.0,-4.8000000000000025,-1.0
25,17.0,0.0,-2.7,-0.8951140625
26,90.0,0.009999999999990905,-9.999999999999984,-0.7912107317589769
27,17.0,0.0,-2.7,-1.0
28,84.0,0.009999999999990905,-9.399999999999986,-0.5
29,124.0,0.009999999999990905,-13.399999999999972,-0.95
30,7.0,0.0,-1.7,-0.9450256623828125
31,213.0,0.009999999999990905,-22.300000000000033,-0.8963675439868164
32,60.0,0.009999999999990905,-6.999999999999995,-0.9075
33,129.0,0.01999999999998181,-13.89999999999997,-0.47375
34,93.0,0.0,-10.299999999999983,-0.95
35,20.0,0.0,-3.0000000000000004,-0.39560536587948847
36,66.0,0.0,-7.5999999999999925,-0.6171729268165225
37,79.0,0.009999999999990905,-6.899999999999988,1.0
38,57.0,0.0,-6.699999999999996,-0.30858646340826135
39,81.0,0.0,-9.099999999999987,-0.5
40,63.0,0.009999999999990905,-7.299999999999994,-0.7282069971552587
41,123.0,0.009999999999990905,-13.299999999999972,-0.9009375
42,27.0,0.0,-3.700000000000001,-0.95
43,32.0,0.0,-4.200000000000001,-0.8996481995937201
44,25.0,0.0,-3.500000000000001,-0.91
45,22.0,0.0,-3.2000000000000006,-0.6754212670872868
46,44.0,0.0,-5.4,-0.8967607187191723
47,124.0,0.009999999999990905,-13.399999999999972,-0.8927773890371576
48,20.0,0.0,-3.0000000000000004,-0.95
49,95.0,0.009999999999990905,-10.499999999999982,-1.0
50,15.0,0.0,-2.5,-1.0
51,55.0,0.0,-6.4999999999999964,-0.95
52,31.0,0.009999999999990905,-4.100000000000001,-0.925
53,23.0,0.0,-3.3000000000000007,-0.8895757437571613
54,114.0,0.009999999999990905,-10.399999999999975,0.8025
55,56.0,0.0,-6.599999999999996,-0.7847497172814337
56,41.0,0.010000000000218279,-5.100000000000001,-1.0
57,15.0,0.0,-2.5,-0.475
58,81.0,0.0,-9.099999999999987,-0.9043842343515938
59,22.0,0.009999999999990905,-3.2000000000000006,-0.7796913767248911
60,138.0,0.009999999999990905,-14.799999999999967,-0.95
61,39.0,0.0,-4.900000000000002,-0.6133119304535919
62,12.0,0.0,-2.2,-0.5
63,134.0,0.009999999999990905,-14.399999999999968,-0.7789554229734097
64,12.0,0.0,-2.2,-0.38947771148670474
65,21.0,0.0,-3.1000000000000005,-0.9450202006766193
66,137.0,0.009999999999990905,-14.699999999999967,-0.934875
67,121.0,0.009999999999990905,-13.099999999999973,-1.0
68,162.0,0.01999999999998181,-15.19999999999996,0.40125
69,159.0,0.009999999999990905,-16.89999999999996,-0.5
70,50.0,0.0,-5.999999999999998,-0.7819792400471808
71,47.0,0.009999999999990905,-5.699999999999999,-0.8975450667214381
72,45.0,0.0,-5.5,-0.5
73,226.0,0.01999999999998181,-23.60000000000005,-0.3909896200235903
74,93.0,0.0,-10.299999999999983,-1.0
75,41.0,0.009999999999990905,-5.100000000000001,-1.0
76,40.0,0.0,-3.0000000000000018,0.65297671875
77,48.0,0.0,-5.799999999999999,-0.95
78,96.0,0.009999999999990905,-10.599999999999982,-1.0
79,90.0,0.009999999999990905,-9.999999999999984,-1.0889315437895917
80,208.0,0.009999999999990905,-21.800000000000026,-0.6940800486122536
81,108.0,0.0,-11.799999999999978,-1.0
82,63.0,0.009999999999990905,-7.299999999999994,-0.907375
83,138.0,0.009999999999990905,-14.799999999999967,-0.8896210284155509
84,191.0,0.009999999999990905,-20.1,-1.0
85,72.0,0.009999999999990905,-8.19999999999999,-0.95
86,60.0,0.0,-6.999999999999995,-0.30665596522679595
87,87.0,0.009999999999990905,-7.699999999999985,1.1013931811333086
88,214.0,0.01999999999998181,-22.400000000000034,-0.90625
89,61.0,0.0,-5.099999999999994,1.0322612827722724
90,28.0,0.0,-3.800000000000001,-0.23750000000000004
91,79.0,0.0,-8.899999999999988,-0.475
92,19.0,0.0,-2.9000000000000004,-0.95
93,221.0,0.020000000000209184,-23.100000000000044,-1.0
94,82.0,0.009999999999990905,-9.199999999999987,-0.5
95,57.0,0.0,-4.699999999999996,0.8119468105315497
96,152.0,0.009999999999990905,-16.19999999999996,-0.9225
97,67.0,0.009999999999990905,-7.699999999999992,-0.25
98,174.0,0.009999999999990905,-16.399999999999977,0.7565620802463491
99,40.0,0.0,-5.000000000000002,-0.925
100,110.0,0.009999999999990905,-11.999999999999977,-0.7927336892744519
101,161.0,0.01999999999998181,-15.099999999999959,1.0852170096048412
102,37.0,0.0,-4.700000000000002,-0.639506445686963
103,123.0,0.009999999999990905,-13.299999999999972,-0.8967780852958962
104,56.0,0.009999999999990905,-6.599999999999996,-0.25
105,197.0,0.009999999999990905,-18.70000000000001,0.8253430953031227
106,149.0,0.01999999999998181,-13.899999999999963,0.7269693512083586
107,148.0,0.009999999999990905,-15.799999999999963,-0.95
108,147.0,0.009999999999990905,-13.699999999999964,0.7344496118326309
109,170.0,0.009999999999990905,-17.99999999999997,-0.125
110,151.0,0.009999999999990905,-14.099999999999962,0.8860855037896854
111,56.0,0.009999999999990905,-6.599999999999996,-0.784797179667466
112,53.0,0.0,-6.299999999999997,-0.0625
113,13.0,0.0,-2.3,-0.95
114,110.0,0.009999999999990905,-11.999999999999977,-0.6952254270306082
115,52.0,0.0,-4.1999999999999975,0.44304275189484277
116,20.0,0.0,-3.0000000000000004,-0.855157504667376
117,94.0,0.009999999999990905,-10.399999999999983,-0.7906465975747267
118,100.0,0.009999999999990905,-10.99999999999998,-0.8651654859503946
119,104.0,0.009999999999990905,-9.399999999999979,1.1012957247031645
120,249.0,0.009999999999990905,-25.900000000000084,-1.0
121,342.0,0.03000000000020009,-35.200000000000216,-0.8827038514712279
122,157.0,0.009999999999990905,-16.69999999999996,-1.0
123,426.0,0.029999999999972715,-43.600000000000335,-1.0
124,127.0,0.009999999999990905,-13.69999999999997,-0.95
125,107.0,0.009999999999990905,-11.699999999999978,-0.6934725856867834
126,126.0,0.009999999999990905,-13.599999999999971,-0.5
127,75.0,0.009999999999990905,-8.49999999999999,-0.03125
128,265.0,0.01999999999998181,-27.500000000000107,-0.6963541666701684
129,500.0,0.029999999999972715,-50.10000000000044,-1.3877787807814457e-17
130,182.0,0.01999999999998181,-19.19999999999999,-0.3481770833350841
131,225.0,0.009999999999990905,-23.50000000000005,-0.392398589833733
132,88.0,0.009999999999990905,-9.799999999999985,-0.5
133,219.0,0.01999999999998181,-22.90000000000004,-0.5425440919028777
134,101.0,0.0,-11.09999999999998,-0.6668663443728697
135,500.0,0.03999999999996362,-50.10000000000044,-1.3877787807814457e-17
136,225.0,0.020000000000209184,-23.50000000000005,-0.33343317218643476
137,492.0,0.029999999999972715,-50.20000000000043,-0.5800804674201638
138,500.0,0.03999999999996362,-50.10000000000044,-1.3877787807814457e-17
139,500.0,0.03999999999996362,-50.10000000000044,-1.3877787807814457e-17
140,500.0,0.029999999999972715,-50.10000000000044,-1.3877787807814457e-17
141,316.0,0.029999999999972715,-30.60000000000018,0.5506478623515823
142,500.0,0.029999999999972715,-50.10000000000044,-1.3877787807814457e-17
143,99.0,0.009999999999990905,-10.89999999999998,-0.5314887152782155
144,321.0,0.01999999999998181,-33.100000000000186,-0.3898456883624455
145,108.0,0.0,-11.799999999999978,-0.8738294010510113
