steps,time,reward,delta,converged
1,0.0,-0.16428571428571428,1.0004698013579052,False
2,0.0,-0.13461538461538464,1.0006641412221395,False
3,0.0,-0.19,1.0006641412221395,False
4,0.0,-0.12250000000000005,1.0006641412221395,False
5,0.010000000000218279,-0.11836734693877549,1.0006641412221395,False
6,0.0,-0.13913043478260873,1.0006641412221395,False
7,0.010000000000218279,-0.11730769230769227,1.0006641412221395,False
8,0.0,-0.13461538461538464,1.0006641412221395,False
9,0.0,-0.18181818181818182,1.0006641412221395,False
10,0.0,-0.12727272727272732,1.0006641412221395,False
11,0.010000000000218279,-0.11058823529411749,1.0006641412221395,False
12,0.0,-0.2285714285714286,1.0006641412221395,False
13,0.0,-0.14090909090909093,1.0006641412221395,False
14,0.010000000000218279,-0.13913043478260873,1.0006641412221395,False
15,0.0,-0.12647058823529417,1.0006641412221395,False
16,0.010000000000218279,-0.1140624999999999,1.0006641412221395,False
17,0.0,-0.11666666666666661,1.0006641412221395,False
18,0.0,-0.15294117647058827,1.0006641412221395,False
19,0.010000000000218279,-0.10714285714285691,1.0006641412221395,False
20,0.0,-0.2125,1.0006641412221395,False
21,0.010000000000218279,-0.10882352941176451,1.0006641412221395,False
22,0.0,-0.16428571428571428,1.0006641412221395,False
23,0.0,-0.14090909090909093,1.0006641412221395,False
24,0.010000000000218279,-0.11097560975609741,1.0006641412221395,False
25,0.0,-0.11249999999999988,1.0006641412221395,False
26,0.009999999999308784,-0.1104651162790696,1.0006641412221395,False
27,0.010000000000218279,-0.12432432432432436,1.0006641412221395,False
28,0.0,-0.19,1.0006641412221395,False
29,0.010000000000218279,-0.10514285714285701,1.0006641412221395,False
30,0.0,-0.13600000000000004,1.0006641412221395,False
31,0.0,-0.12571428571428578,1.0006641412221395,False
32,0.009999999999308784,-0.14285714285714288,1.0006641412221395,False
33,0.0,-0.11578947368421046,1.0006641412221395,False
34,0.010000000000218279,-0.13214285714285717,1.0006641412221395,False
35,0.0,-0.12647058823529417,1.0006641412221395,False
36,0.010000000000218279,-0.12093023255813956,1.0006641412221395,False
37,0.0,-0.14736842105263162,1.0006641412221395,False
38,0.010000000000218279,-0.11636363636363631,1.0006641412221395,False
39,0.0,-0.109782608695652,1.0006641412221395,False
40,0.0,-0.12571428571428578,1.0006641412221395,False
41,0.0,-0.14500000000000002,1.0006641412221395,False
42,0.010000000000218279,-0.12045454545454547,1.0006641412221395,False
43,0.0,-0.16923076923076924,1.0006641412221395,False
44,0.010000000000218279,-0.12500000000000006,1.0006641412221395,False
45,0.0,-0.11551724137931027,1.0006641412221395,False
46,0.010000000000218279,-0.11874999999999998,1.0006641412221395,False
47,0.0,-0.11451612903225797,1.0006641412221395,False
48,0.0,-0.11216216216216203,1.0006641412221395,False
49,0.010000000000218279,-0.13103448275862073,1.0006641412221395,False
50,0.0,-0.15294117647058827,1.0006641412221395,False
51,0.0,-0.11874999999999998,1.0006641412221395,False
52,0.0,-0.2285714285714286,1.0006641412221395,False
53,0.0,-0.11168831168831155,1.0006641412221395,False
54,0.0,-0.13600000000000004,1.0006641412221395,False
55,0.0,-0.14090909090909093,1.0006641412221395,False
56,0.009999999999308784,-0.10937499999999982,1.0006641412221395,False
57,0.010000000000218279,-0.12903225806451618,1.0006641412221395,False
58,0.0,-0.11698113207547164,1.0006641412221395,False
59,0.010000000000218279,-0.11304347826086944,1.0006641412221395,False
60,0.010000000000218279,-0.1104651162790696,1.0006641412221395,False
61,0.0,-0.12307692307692314,1.0006641412221395,False
62,0.009999999999308784,-0.11034482758620673,1.0006641412221395,False
63,0.010000000000218279,-0.1104651162790696,1.0006641412221395,False
64,0.0,-0.13750000000000004,1.0006641412221395,False
65,0.0,-0.15294117647058827,1.0006641412221395,False
66,0.0,-0.11304347826086944,1.0006641412221395,False
67,0.0,-0.11071428571428556,1.0006641412221395,False
68,0.010000000000218279,-0.13333333333333336,1.0006641412221395,False
69,0.0,-0.16428571428571428,1.0006641412221395,False
70,0.0,-0.14500000000000002,1.0006641412221395,False
