episode,length,time,reward,delta
209,12.0,0.0,88.0,0.0
210,34.0,0.010000000000218279,-132.0,0.0
211,14.0,0.0,86.0,0.0
212,26.0,0.0,-124.0,0.0
213,18.0,0.0,-17.0,0.0
214,32.0,0.0,-328.0,0.0
215,14.0,0.010000000000218279,86.0,0.0
216,18.0,0.0,-17.0,0.0
217,38.0,0.0,-433.0,0.0
218,23.0,0.0,-22.0,0.0
219,18.0,0.0,82.0,0.0
220,59.0,0.010000000000218279,-454.0,0.0
221,42.0,0.0,-140.0,0.0
222,14.0,0.0,86.0,0.0
223,12.0,0.0,88.0,0.0
224,14.0,0.0,86.0,0.0
225,12.0,0.0,88.0,0.0
226,14.0,0.0,86.0,0.0
227,22.0,0.0,-120.0,0.0
228,23.0,0.0,-22.0,0.0
229,21.0,0.010000000000218279,-20.0,0.0
230,14.0,0.0,86.0,0.0
231,16.0,0.0,84.0,0.0
232,12.0,0.0,88.0,0.0
233,20.0,0.0,80.0,0.0
234,12.0,0.0,88.0,0.0
235,14.0,0.0,86.0,0.0
236,12.0,0.00999999999839929,88.0,0.0
237,12.0,0.0,88.0,0.0
238,17.0,0.0,-16.0,0.0
239,12.0,0.0,88.0,0.0
240,19.0,0.0,-18.0,0.0
241,14.0,0.0,86.0,0.0
242,15.0,0.0,-14.0,0.0
243,13.0,0.010000000000218279,87.0,0.0
244,23.0,0.0,-121.0,0.0
245,20.0,0.0,80.0,0.0
246,17.0,0.0,-16.0,0.0
247,24.0,0.0,-122.0,0.0
248,24.0,0.010000000000218279,-23.0,0.0
249,12.0,0.0,88.0,0.0
250,12.0,0.0,88.0,0.0
251,12.0,0.0,88.0,0.0
252,22.0,0.0,-21.0,0.0
253,35.0,0.0,-232.0,0.0
254,27.0,0.010000000000218279,-125.0,0.0
255,14.0,0.0,86.0,0.0
256,17.0,0.0,83.0,0.0
257,25.0,0.0,-123.0,0.0
258,30.0,0.0,-128.0,0.0
259,14.0,0.010000000000218279,86.0,0.0
260,12.0,0.0,88.0,0.0
261,19.0,0.0,-18.0,0.0
262,12.0,0.0,88.0,0.0
263,15.0,0.0,85.0,0.0
264,12.0,0.0,88.0,0.0
265,15.0,0.0,-14.0,0.0
266,27.0,0.010000000000218279,-26.0,0.0
267,12.0,0.0,88.0,0.0
268,23.0,0.0,-121.0,0.0
269,14.0,0.0,86.0,0.0
270,14.0,0.0,86.0,0.0
271,37.0,0.010000000000218279,-135.0,0.0
272,12.0,0.0,88.0,0.0
273,17.0,0.0,83.0,0.0
274,21.0,0.0,-20.0,0.0
275,12.0,0.0,88.0,0.0
276,27.0,0.0,-26.0,0.0
277,32.0,0.010000000000218279,-229.0,0.0
278,16.0,0.0,84.0,0.0
279,17.0,0.0,83.0,0.0
280,16.0,0.0,84.0,0.0
281,16.0,0.0,-15.0,0.0
282,15.0,0.0,85.0,0.0
283,16.0,0.010000000000218279,84.0,0.0
284,14.0,0.0,86.0,0.0
285,16.0,0.0,84.0,0.0
286,12.0,0.0,88.0,0.0
287,12.0,0.0,88.0,0.0
288,17.0,0.0,-16.0,0.0
289,14.0,0.0,86.0,0.0
290,12.0,0.0,88.0,0.0
291,12.0,0.0,88.0,0.0
292,17.0,0.0,-16.0,0.0
293,14.0,0.0,86.0,0.0
294,58.0,0.010000000000218279,-552.0,0.0
295,14.0,0.0,86.0,0.0
296,14.0,0.0,86.0,0.0
297,16.0,0.010000000000218279,-15.0,0.0
298,18.0,0.0,82.0,0.0
299,18.0,0.0,-17.0,0.0
300,27.0,0.010000000000218279,-125.0,0.0
301,25.0,0.0,-24.0,0.0
302,34.0,0.010000000000218279,-132.0,0.0
303,14.0,0.0,86.0,0.0
304,12.0,0.0,88.0,0.0
305,12.0,0.010000000000218279,88.0,0.0
306,12.0,0.0,88.0,0.0
307,12.0,0.0,88.0,0.0
308,14.0,0.0,86.0,0.0
309,42.0,0.010000000000218279,-140.0,0.0
310,15.0,0.0,-14.0,0.0
311,50.0,0.010000000000218279,-445.0,0.0
312,18.0,0.00999999999839929,82.0,0.0
313,25.0,0.0,-24.0,0.0
314,35.0,0.010000000000218279,-133.0,0.0
315,26.0,0.0,-25.0,0.0
316,16.0,0.0,84.0,0.0
317,28.0,0.010000000000218279,-27.0,0.0
318,13.0,0.0,87.0,0.0
319,14.0,0.0,86.0,0.0
320,12.0,0.0,88.0,0.0
321,12.0,0.0,88.0,0.0
322,23.0,0.0,-22.0,0.0
323,18.0,0.010000000000218279,82.0,0.0
324,12.0,0.0,88.0,0.0
325,16.0,0.0,-15.0,0.0
326,12.0,0.010000000000218279,88.0,0.0
327,12.0,0.0,88.0,0.0
328,15.0,0.0,85.0,0.0
329,16.0,0.0,-114.0,0.0
330,20.0,0.010000000000218279,-118.0,0.0
331,18.0,0.0,82.0,0.0
332,12.0,0.0,88.0,0.0
333,14.0,0.010000000000218279,86.0,0.0
334,14.0,0.0,86.0,0.0
335,14.0,0.0,86.0,0.0
336,24.0,0.00999999999839929,-23.0,0.0
337,12.0,0.0,88.0,0.0
338,16.0,0.0,84.0,0.0
339,33.0,0.0,-329.0,0.0
340,14.0,0.010000000000218279,86.0,0.0
341,20.0,0.0,-19.0,0.0
342,14.0,0.0,86.0,0.0
343,23.0,0.0,-22.0,0.0
344,12.0,0.0,88.0,0.0
345,16.0,0.0,84.0,0.0
346,15.0,0.0,85.0,0.0
347,46.0,0.0,-243.0,0.0
348,16.0,0.0,84.0,0.0
349,12.0,0.0,88.0,0.0
350,24.0,0.0,-23.0,0.0
351,12.0,0.0,88.0,0.0
352,14.0,0.0,86.0,0.0
353,12.0,0.0,88.0,0.0
354,26.0,0.0,-25.0,0.0
355,14.0,0.0,86.0,0.0
356,34.0,0.0,-231.0,0.0
357,12.0,0.010000000000218279,88.0,0.0
358,13.0,0.0,87.0,0.0
359,22.0,0.0,-120.0,0.0
360,26.0,0.0,-25.0,0.0
361,12.0,0.0,88.0,0.0
362,44.0,0.010000000000218279,-241.0,0.0
363,12.0,0.0,88.0,0.0
364,12.0,0.0,88.0,0.0
365,12.0,0.0,88.0,0.0
366,14.0,0.0,86.0,0.0
367,14.0,0.0,86.0,0.0
368,15.0,0.0,85.0,0.0
369,26.0,0.010000000000218279,-124.0,0.0
370,16.0,0.0,84.0,0.0
371,12.0,0.0,88.0,0.0
372,14.0,0.0,86.0,0.0
373,16.0,0.0,84.0,0.0
