params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.6399999999999864,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.2800000000000296,100,-4.108653846153846,-13.375,-13.375,6.769230769230769,10.039832880469248
"{""discount_factor"": 0.2}",2.269999999999982,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.3}",2.480000000000018,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.4}",2.9599999999999795,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.5}",2.3799999999999955,100,-4.108653846153846,-13.375,-13.375,6.769230769230769,10.039832880469248
"{""discount_factor"": 0.6}",2.3999999999999773,100,-3.5043269230769223,-13.375,-13.375,6.769230769230769,10.070100760055855
"{""discount_factor"": 0.7}",2.3700000000000045,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.8}",2.3799999999999955,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.9}",2.57000000000005,100,-3.101442307692307,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
