params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",5.720000000000002,100,-0.1005690059801204,-0.10000000000000002,-0.11323529411764703,-0.10000000000000002,0.0018094170654456797
"{""discount_factor"": 0.1}",32.6,100,-0.10054322080296327,-0.10000000000000002,-0.10708661417322834,-0.10000000000000002,0.0012914658806078242
"{""discount_factor"": 0.2}",39.809999999999995,100,-0.10048948186389828,-0.10000000000000002,-0.11097560975609756,-0.10000000000000002,0.0018282138231090397
"{""discount_factor"": 0.3}",43.230000000000004,100,-0.1002942935975714,-0.10000000000000002,-0.10756302521008403,-0.10000000000000002,0.000992299996628935
"{""discount_factor"": 0.4}",51.25999999999999,100,-0.10072446103592295,-0.10000000000000002,-0.125,-0.10000000000000002,0.003314767969890689
"{""discount_factor"": 0.5}",61.23000000000002,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.6}",75.38999999999999,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.7}",6.670000000000016,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.8}",6.419999999999959,100,-0.09820702843020236,-0.09831158764713087,-0.10000000000000002,-0.09476190476190476,0.0013625053214907843
"{""discount_factor"": 0.9}",8.340000000000032,100,-0.10073891996550113,-0.10185957557620803,-0.11999999999999997,-0.0912,0.004457354259429819
