params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",5.819999999999993,100,-0.10053879070668106,-0.10000000000000002,-0.1107142857142857,-0.10000000000000002,0.0015694171858983196
"{""discount_factor"": 0.1}",5.78000000000003,100,-0.10046903498416235,-0.10000000000000002,-0.10642857142857141,-0.10000000000000002,0.0011040851189508005
"{""discount_factor"": 0.2}",5.849999999999966,100,-0.10075013508270927,-0.10000000000000002,-0.12647058823529414,-0.10000000000000002,0.003190410185747234
"{""discount_factor"": 0.3}",5.860000000000014,100,-0.10025406691901946,-0.10000000000000002,-0.10491803278688522,-0.10000000000000002,0.0007973577572301283
"{""discount_factor"": 0.4}",5.8700000000000045,100,-0.10017846025733275,-0.10000000000000002,-0.10463917525773195,-0.10000000000000002,0.000725911133876949
"{""discount_factor"": 0.5}",6.110000000000014,100,-0.10014820839125357,-0.10000000000000002,-0.10348837209302326,-0.10000000000000002,0.000634384377368014
"{""discount_factor"": 0.6}",6.069999999999993,100,-0.10012299303727958,-0.10000000000000002,-0.10750000000000001,-0.10000000000000002,0.0008159687563805263
"{""discount_factor"": 0.7}",6.170000000000016,100,-0.10006428571428572,-0.10000000000000002,-0.10642857142857141,-0.10000000000000002,0.0006396347809971091
"{""discount_factor"": 0.8}",6.1299999999999955,100,-0.10003571428571428,-0.10000000000000002,-0.10357142857142858,-0.10000000000000002,0.0003553526561095059
"{""discount_factor"": 0.9}",5.9599999999999795,100,-0.10295322908777388,-0.10243287671232874,-0.11475409836065571,-0.09554655870445344,0.003336850705812422
