steps,time,reward,delta,converged
1,0.009999999999990905,-40.001735751655445,0.707142856515775,False
2,0.009999999999990905,-44.93454603837036,0.05578472031491134,False
3,0.009999999999990905,-45.567332061309806,0.00460282999916678,False
4,0.009999999999990905,-45.64989003925569,0.0007882798353909398,False
5,0.010000000000047748,-45.66066538225529,0.00014950950160037835,False
6,0.009999999999990905,-45.66208405116592,2.6919138098852047e-05,False
7,0.009999999999990905,-45.66227140198476,4.696778933471757e-06,True
