steps,time,reward,delta,converged
102,0.010000000000218279,4.9411764705882355,100.639764262,False
103,0.0,4.315789473684211,100.639764262,False
104,0.0,4.9411764705882355,100.639764262,False
105,0.0,5.733333333333333,100.639764262,False
106,0.0,5.733333333333333,100.639764262,False
107,0.0,4.05,100.639764262,False
108,0.010000000000218279,4.9411764705882355,100.639764262,False
109,0.0,4.9411764705882355,100.639764262,False
110,0.0,4.315789473684211,100.639764262,False
111,0.0,4.611111111111111,100.639764262,False
112,0.0,5.733333333333333,100.639764262,False
113,0.0,4.05,100.639764262,False
114,0.0,5.733333333333333,100.639764262,False
115,0.0,5.733333333333333,100.639764262,False
116,0.0,5.733333333333333,100.639764262,False
117,0.0,4.9411764705882355,100.639764262,False
118,0.0,5.733333333333333,100.639764262,False
119,0.0,5.733333333333333,100.639764262,False
120,0.0,4.315789473684211,100.639764262,False
121,0.010000000000218279,3.8095238095238093,100.639764262,False
122,0.0,5.3125,100.639764262,False
123,0.0,4.9411764705882355,100.639764262,False
124,0.0,4.9411764705882355,100.639764262,False
125,0.0,5.733333333333333,100.639764262,False
126,0.0,5.3125,100.639764262,False
127,0.0,4.9411764705882355,100.639764262,False
128,0.010000000000218279,5.733333333333333,100.639764262,False
129,0.0,4.9411764705882355,100.639764262,False
130,0.0,3.8095238095238093,100.639764262,False
131,0.0,4.315789473684211,100.639764262,False
132,0.0,5.733333333333333,100.639764262,False
133,0.0,5.733333333333333,100.639764262,False
134,0.010000000000218279,5.733333333333333,100.639764262,False
135,0.0,5.733333333333333,100.639764262,False
136,0.0,4.611111111111111,100.639764262,False
137,0.0,5.733333333333333,100.639764262,False
138,0.0,5.733333333333333,100.639764262,False
139,0.0,4.9411764705882355,100.639764262,False
140,0.0,5.733333333333333,100.639764262,False
141,0.010000000000218279,5.733333333333333,100.639764262,False
142,0.0,5.733333333333333,100.639764262,False
143,0.0,5.733333333333333,100.639764262,False
144,0.0,4.315789473684211,100.639764262,False
145,0.0,5.733333333333333,100.639764262,False
146,0.0,5.733333333333333,100.639764262,False
147,0.0,4.9411764705882355,100.639764262,False
